date,lift_id,lift_name,sets,reps,weight,notes,flag,source
2025-12-29,barbell_bench_press,Barbell Bench Press,3,5,175.0,"good, try x6 with guards",,2025-11
2025-12-29,db_flat_bench,DB Flat Bench,3,10,60.0,"60 12, 11, 8",,2025-11
2025-12-29,db_incline_press,Dumbbell Incline Press,2,8,55.0,55 8/8/,,2025-11
2025-12-29,dips,Dips,3,13,0.0,go 14 don't go low,,2025-11
2025-12-29,face_pull,Face Pull,3,15,40.0,stay. scap down throughout stay,,2025-11
2025-12-29,hammer_curl,Hammer Curl,2,12,30.0,so hard,,2025-11
2025-12-29,incline_db_curl,Incline DB Curl,3,12,25.0,low angle. stay,,2025-11
2025-12-29,lateral_raise,Lateral Raise,3,15,12.5,up reps,,2025-11
2025-12-29,overhead_triceps_extension,Overhead Triceps Extension,3,12,35.0,hard,,2025-11
2025-12-29,pallof_press,Pallof Press,3,12,25.0,try up,,2025-11
2025-12-29,row,Row,3,10,120.0,different machine,,2025-11
2025-12-29,straight_arm_pulldown,Straight Arm Pulldown,3,15,50.0,stay,,2025-11
2025-12-29,triceps_pushdown,Triceps Pushdown,3,12,40.0,"stay, lock elbows stay",,2025-11
2025-12-29,weighted_pull_ups,Weighted Pull-Ups,3,7,0.0,,,2025-11
2026-01-09,db_flat_bench,DB Flat Bench,3,10,50.0,,,2025-11
2026-01-09,dips,Dips,3,8,0.0,,,2025-11
2026-01-09,face_pull,Face Pull,3,15,35.0,maybe better here than heavier?,,2025-11
2026-01-09,incline_db_curl,Incline DB Curl,3,12,22.5,,,2025-11
2026-01-09,straight_arm_pulldown,Straight Arm Pulldown,3,15,45.0,,,2025-11
2026-01-09,triceps_pushdown,Triceps Pushdown,3,12,35.0,,,2025-11
2026-01-09,weighted_pull_ups,Weighted Pull-Ups,5,3,0.0,,,2025-11
2026-01-11,cable_rotation,Cable Rotation,2,12,27.5,,,2025-11
2026-01-11,glute_kickback,Glute Kickback,3,12,100.0,go 110,,2025-11
2026-01-11,hip_thrust,Hip Thrust,3,10,185.0,,,2025-11
2026-01-11,trap_bar_deadlift,Trap Bar Deadlift,3,5,265.0,easy,,2025-11
2026-01-13,barbell_bench_press,Barbell Bench Press,3,6,175.0,175 554 ?,,2025-11
2026-01-13,db_incline_press,Dumbbell Incline Press,3,10,50.0,,,2025-11
2026-01-13,hammer_curl,Hammer Curl,2,12,30.0,so hard not too bad,,2025-11
2026-01-13,lateral_raise,Lateral Raise,3,20,0.0,everything hard today. sickness or creatine?,,2025-11
2026-01-13,overhead_triceps_extension,Overhead Triceps Extension,3,12,35.0,hard fine,,2025-11
2026-01-13,pallof_press,Pallof Press,2,12,30.0,stay or go up,,2025-11
2026-01-13,rear_delt_fly,Rear Delt Fly,3,15,12.5,maybe go back to 10,,2025-11
2026-01-14,back_squat,Back Squat,3,5,185.0,"feet shoulder width and near parallel, fine",,2025-11
2026-01-14,bulgarian_split_squat,Bulgarian Split Squat,2,10,15.0,,,2025-11
2026-01-14,calf_raise,Calf Raise,3,18,0.0,,,2025-11
2026-01-14,hanging_leg_raise,Hanging Leg Raise,3,8,0.0,hard on clavicle. try hanging?,,2025-11
2026-01-14,rdl,Romanian Deadlift,3,8,165.0,,,2025-11
2026-01-16,db_flat_bench,DB Flat Bench,3,8,60.0,60 8/10/12 hard at end,,2025-11
2026-01-16,dips,Dips,3,10,0.0,"fine, first set tough on left shoulder",,2025-11
2026-01-16,face_pull,Face Pull,3,15,35.0,maybe better here than heavier? pretty easy,,2025-11
2026-01-16,incline_db_curl,Incline DB Curl,2,12,25.0,fine,,2025-11
2026-01-16,lat_pulldown,Lat Pulldown,3,10,0.0,140/145/150 fine,,2025-11
2026-01-16,straight_arm_pulldown,Straight Arm Pulldown,3,12,50.0,fine,,2025-11
2026-01-16,triceps_pushdown,Triceps Pushdown,2,15,37.5,,,2025-11
2026-01-17,hip_abduction,Hip Abduction,3,15,85.0,hard,,2025-11
2026-01-17,hip_adduction,Hip Adduction,3,15,85.0,,,2025-11
2026-01-17,seated_hamstring_curl,Seated Hamstring Curl,3,12,105.0,stay,,2025-11
2026-01-17,trap_bar_deadlift,Trap Bar Deadlift,3,5,275.0,easy enough,,2025-11
2026-01-18,barbell_bench_press,Barbell Bench Press,3,5,175.0,good. try x6 or 180,,2025-11
2026-01-18,db_incline_press,Dumbbell Incline Press,3,10,55.0,,,2025-11
2026-01-18,lateral_raise,Lateral Raise,3,15,12.0,quick intervals,,2025-11
2026-01-18,pallof_press,Pallof Press,2,12,30.0,stay or go up go up,,2025-11
